year,Country Country,January,February February,march march,April April,May May,june june,july july,august august,September,october october,November November,December
2015,Afghanistan - Afghanistan,20,33,33,50,37,36,40,58,56,75,98,120
2016,Afghanistan - Afghanistan,104,141,148,115,125,107,53,75,64,88,91,94
2017,Afghanistan - Afghanistan,107,81,112,81,70,73,71,81,75,120,105,102
2018,Afghanistan - Afghanistan,124,118,108,99,131,139,143,183,227,319,261,232
2019,Afghanistan - Afghanistan,191,166,150,189,183,108,163,146,182,185,216,312
2020,Afghanistan - Afghanistan,204,256,184,54,48,60,149,156,166,225,203,224
2021,Afghanistan - Afghanistan,168,230,302,229,98,250,229,313,270,188,231,254
2022,Afghanistan - Afghanistan,131,141,214,247,210,258,83,108,95,62,80,103
2023,Afghanistan - Afghanistan,76,69,51,50,,,,,,,,
2015,Azerbaijan - Azerbaijan,56,57,58,97,50,72,68,54,56,77,88,82
2016,Azerbaijan - Azerbaijan,54,54,60,47,58,63,39,53,37,42,47,56
2017,Azerbaijan - Azerbaijan,54,55,50,65,63,46,61,45,72,278,62,91
2018,Azerbaijan - Azerbaijan,65,63,61,68,75,82,73,96,180,177,144,166
2019,Azerbaijan - Azerbaijan,95,105,87,87,90,67,92,88,118,125,91,146
2020,Azerbaijan - Azerbaijan,99,90,95,35,42,70,115,154,183,137,104,155
2021,Azerbaijan - Azerbaijan,68,77,106,131,47,164,127,138,162,120,185,192
2022,Azerbaijan - Azerbaijan,89,93,115,156,118,131,65,106,115,99,104,139
2023,Azerbaijan - Azerbaijan,65,73,69,54,,,,,,,,
2016,Belgium - Belgium,12,8,28,13,7,17,20,30,20,12,12,19
2017,Belgium - Belgium,10,8,24,22,15,23,29,22,15,23,14,14
2022,Canada - Canada,40,58,88,74,81,105,40,53,59,32,55,75
2023,Canada - Canada,45,16,37,20,,,,,,,,
2015,China - China,20,10,24,20,19,17,15,25,23,20,24,54
2016,China - China,23,27,24,20,36,23,26,11,18,20,22,31
2020,China - China,78,87,86,40,46,78,57,103,84,61,74,97
2021,China - China,63,72,100,55,20,81,54,98,96,61,117,146
2022,China - China,51,47,78,105,186,377,57,42,49,67,39,81
2023,China - China,108,85,56,68,,,,,,,,
2015,Egypt - Egypt,11,12,19,23,21,29,15,30,21,32,54,51
2016,Egypt - Egypt,26,28,39,28,19,28,15,41,18,27,41,38
2017,Egypt - Egypt,45,46,39,38,52,31,46,61,49,34,79,67
2018,Egypt - Egypt,62,45,41,44,38,38,70,90,67,75,69,86
2019,Egypt - Egypt,83,82,59,88,99,34,107,72,73,83,111,100
2020,Egypt - Egypt,82,93,49,10,23,40,40,70,97,109,92,79
2021,Egypt - Egypt,69,65,99,99,37,95,97,94,108,129,111,163
2022,Egypt - Egypt,88,64,126,117,94,188,53,88,79,68,79,71
2023,Egypt - Egypt,45,36,41,41,,,,,,,,
2015,England - United Kingdom,54,86,48,91,103,104,101,86,109,133,74,65
2016,England - United Kingdom,49,45,62,65,85,102,71,58,84,94,63,49
2017,England - United Kingdom,40,37,39,55,65,87,76,78,103,94,68,52
2018,England - United Kingdom,55,48,52,57,112,88,94,97,193,217,128,96
2019,England - United Kingdom,76,70,74,94,149,113,124,109,139,166,133,106
2020,England - United Kingdom,72,66,65,14,16,37,69,140,197,202,147,101
2021,England - United Kingdom,47,44,98,82,36,63,63,110,100,139,157,150
2022,England - United Kingdom,82,100,140,116,91,144,90,92,120,98,92,71
2023,England - United Kingdom,57,43,65,46,,,,,,,,
2015,Germany - Germany,66,52,40,79,73,68,84,71,68,76,84,108
2016,Germany - Germany,49,50,74,50,67,96,25,52,61,63,77,50
2017,Germany - Germany,43,35,31,74,54,64,41,66,77,106,88,93
2018,Germany - Germany,89,53,78,97,123,102,109,177,299,341,203,195
2019,Germany - Germany,119,122,101,122,155,126,158,149,145,225,154,147
2020,Germany - Germany,133,108,87,13,15,53,143,134,161,159,145,114
2021,Germany - Germany,65,96,142,144,87,192,198,262,298,256,322,296
2022,Germany - Germany,204,169,244,221,247,329,163,256,225,211,224,212
2023,Germany - Germany,126,124,112,73,,,,,,,,
2015,Iran - Iran,44,43,60,53,52,85,77,58,67,62,64,79
2016,Iran - Iran,45,52,53,66,53,55,49,50,42,72,82,45
2017,Iran - Iran,42,42,54,33,68,62,74,49,84,85,81,118
2018,Iran - Iran,83,122,156,138,217,228,321,394,538,557,463,435
2019,Iran - Iran,305,307,334,332,509,415,464,469,489,536,500,763
2020,Iran - Iran,678,721,465,157,209,398,540,640,908,849,860,764
2021,Iran - Iran,459,477,663,557,231,683,619,911,1 323,1 265,1 406,1 462
2022,Iran - Iran,761,711,784,905,736,987,431,633,592,498,510,675
2023,Iran - Iran,526,446,472,377,,,,,,,,
2015,Iraq - Iraq,240,243,297,298,276,315,362,401,359,430,495,512
2016,Iraq - Iraq,308,365,244,276,193,214,153,267,230,257,285,244
2017,Iraq - Iraq,279,282,323,245,277,239,293,317,383,344,405,418
2018,Iraq - Iraq,272,308,348,337,407,315,584,944,1 351,1 439,1 003,897
2019,Iraq - Iraq,605,628,548,533,594,429,734,675,781,597,575,897
2020,Iraq - Iraq,739,691,426,103,143,257,388,592,826,909,876,724
2021,Iraq - Iraq,385,432,644,546,239,773,712,900,990,926,1 075,1 039
2022,Iraq - Iraq,513,633,741,714,617,807,380,417,433,310,331,345
2023,Iraq - Iraq,229,173,165,124,,,,,,,,
2015,Jordan - Jordan,14,15,14,19,21,12,20,29,26,25,18,30
2016,Jordan - Jordan,17,21,28,14,26,21,27,29,18,25,55,64
2017,Jordan - Jordan,33,24,36,38,32,17,32,52,41,75,59,44
2018,Jordan - Jordan,84,46,52,62,65,64,111,124,199,242,143,170
2019,Jordan - Jordan,151,125,101,149,144,98,139,105,151,121,158,154
2020,Jordan - Jordan,107,141,86,25,25,46,63,82,134,144,103,124
2021,Jordan - Jordan,51,81,91,94,36,83,102,136,133,105,162,183
2022,Jordan - Jordan,105,117,117,111,95,133,47,66,81,68,78,53
2023,Jordan - Jordan,44,34,33,29,,,,,,,,
2020,Kazakhstan - Kazakhstan,65,74,72,36,15,34,64,82,222,213,124,170
2021,Kazakhstan - Kazakhstan,69,119,166,188,80,165,166,176,210,191,278,282
2023,Kazakhstan - Kazakhstan,155,133,121,89,,,,,,,,
2015,Kazakhstan -Kazakhstan,44,35,52,41,46,38,54,58,34,46,53,39
2016,Kazakhstan -Kazakhstan,46,40,28,27,25,36,25,42,33,25,18,35
2017,Kazakhstan -Kazakhstan,19,16,28,25,17,35,32,18,63,20,31,30
2018,Kazakhstan -Kazakhstan,40,28,28,29,28,35,38,57,79,73,60,47
2019,Kazakhstan -Kazakhstan,30,45,37,73,71,60,58,59,68,80,91,104
2022,Kazakhstan -Kazakhstan,132,197,241,311,218,318,190,231,207,200,191,266
2015,Kuwait - Kuwait,124,144,168,187,216,214,147,226,160,142,193,209
2016,Kuwait - Kuwait,134,159,136,172,182,110,111,155,85,135,212,153
2017,Kuwait - Kuwait,115,114,139,169,125,136,142,135,160,154,151,151
2018,Kuwait - Kuwait,108,99,79,116,114,90,171,271,360,378,218,195
2019,Kuwait - Kuwait,130,150,123,202,152,113,219,159,191,182,109,173
2020,Kuwait - Kuwait,121,79,65,6,7,19,36,137,241,210,202,108
2021,Kuwait - Kuwait,58,41,49,78,43,151,189,264,281,189,185,263
2022,Kuwait - Kuwait,82,144,156,104,130,190,125,195,192,118,116,119
2023,Kuwait - Kuwait,113,73,81,24,,,,,,,,
2019,Lebanese - Lebenon,45,61,62,49,57,43,69,39,62,56,47,60
2020,Lebanese - Lebenon,82,46,47,10,9,27,55,77,114,99,79,62
2018,Lebanon - Lebanon,8,11,12,16,25,22,23,38,67,92,77,65
2021,Lebanon - Lebanon,41,49,70,61,44,107,74,99,109,108,132,128
2022,Lebanon - Lebanon,83,73,84,92,87,98,37,76,42,45,50,48
2019,Libya - Libya,69,69,68,85,83,60,106,87,103,118,122,133
2020,Libya - Libya,78,76,87,10,12,27,22,37,79,84,63,54
2015,Libya -Libya,28,31,53,39,42,40,39,40,25,29,25,36
2016,Netherlands - Netherlands,21,23,15,32,17,13,7,14,18,19,12,26
2018,Netherlands - Netherlands,9,43,24,31,41,28,25,53,44,81,43,45
2015,Norway - Norway,17,20,46,39,29,75,65,41,36,39,31,15
2016,Norway - Norway,26,22,23,28,31,26,16,24,27,28,33,12
2017,Norway - Norway,9,9,26,21,25,24,24,26,38,24,27,20
2015,Other countries - Other countries,194,241,224,268,313,420,322,263,255,372,305,337
2016,Other countries - Other countries,226,245,279,280,297,287,171,214,204,267,280,317
2017,Other countries - Other countries,253,231,231,317,299,234,288,275,371,401,379,359
2018,Other countries - Other countries,288,313,306,385,410,352,459,540,952,1 079,892,923
2019,Other countries - Other countries,585,626,647,672,713,485,860,676,787,893,851,1 007
2020,Other countries - Other countries,647,732,561,143,135,323,557,770,929,957,961,827
2021,Other countries - Other countries,473,521,749,798,393,966,920,1 203,1 312,1 091,1 374,1 570
2022,Other countries - Other countries,933,963,1 226,1 252,1 061,1 611,734,1 068,995,925,939,1 068
2023,Other countries - Other countries,627,506,530,442,,,,,,,,
2021,Pakistani - Pakistani,61,63,82,83,42,103,65,93,90,75,96,109
2022,Pakistani - Pakistani,84,101,128,138,96,162,43,55,48,42,61,45
2023,Pakistani - Pakistani,34,33,45,41,,,,,,,,
2017,Palestine - Palestine,27,21,49,19,20,17,28,23,24,40,38,31
2018,Palestine - Palestine,32,21,23,29,44,29,43,58,73,93,115,95
2019,Palestine - Palestine,103,66,128,120,104,46,109,67,92,100,56,161
2020,Palestine - Palestine,101,97,119,14,18,30,60,65,123,125,88,86
2021,Palestine - Palestine,74,92,96,111,37,124,81,129,127,106,169,150
2022,Palestine - Palestine,80,113,123,154,155,205,34,60,57,42,59,63
2023,Palestine - Palestine,38,41,36,16,,,,,,,,
2015,Qatar - Qatar,18,10,25,20,32,26,22,35,24,26,20,19
2016,Qatar - Qatar,12,14,17,31,36,29,12,19,11,18,19,38
2017,Qatar - Qatar,18,19,14,13,21,9,22,31,33,47,41,37
2018,Qatar - Qatar,40,28,41,37,50,35,40,84,136,107,85,81
2019,Qatar - Qatar,73,65,51,79,64,37,46,53,70,53,59,71
2015,Russian Federation - Russia,157,143,138,196,222,238,195,155,115,191,136,150
2016,Russian Federation - Russia,106,88,96,96,121,114,64,117,99,132,107,84
2017,Russian Federation - Russia,60,77,115,99,134,115,118,95,129,125,135,129
2018,Russian Federation - Russia,121,128,120,112,165,169,173,192,263,336,261,257
2019,Russian Federation - Russia,195,236,156,202,285,190,215,212,248,292,300,362
2020,Russian Federation - Russia,254,282,227,61,40,63,154,366,448,400,434,349
2021,Russian Federation - Russia,260,259,419,402,119,300,365,451,540,543,836,885
2022,Russian Federation - Russia,479,509,547,1 152,1 275,1 887,1 028,1 238,1 196,2 023,2 575,2 403
2023,Russian Federation - Russia,1 557,1 183,1 175,817,,,,,,,,
2015,Saudi Arabia - Saudi Arabia,112,97,187,190,276,325,233,271,204,325,226,258
2016,Saudi Arabia - Saudi Arabia,136,158,151,165,160,112,92,173,140,159,236,204
2017,Saudi Arabia - Saudi Arabia,144,143,148,185,285,612,248,198,344,528,239,271
2018,Saudi Arabia - Saudi Arabia,160,178,181,252,206,110,211,275,312,332,233,268
2019,Saudi Arabia - Saudi Arabia,108,143,189,395,157,102,218,146,214,168,174,194
2020,Saudi Arabia - Saudi Arabia,110,109,84,15,11,23,32,51,52,65,65,62
2022,Saudi Arabia - Saudi Arabia,32,53,25,19,36,73,87,150,159,166,128,162
2023,Saudi Arabia - Saudi Arabia,61,62,73,32,,,,,,,,
2021,Sudan - Sudan,45,35,57,63,20,53,42,79,82,69,79,75
2015,Sweden - Sweden,26,33,36,37,42,50,91,60,43,48,42,33
2016,Sweden - Sweden,29,25,38,35,39,35,31,41,36,39,42,27
2017,Sweden - Sweden,24,14,20,36,48,33,40,30,46,43,38,34
2018,Sweden - Sweden,38,29,34,35,48,42,54,65,115,102,85,76
2019,Sweden - Sweden,52,51,38,42,55,53,96,119,69,71,53,55
2020,Sweden - Sweden,55,50,42,1,3,10,34,76,72,71,69,60
2021,Sweden - Sweden,37,40,48,60,26,83,99,95,92,74,98,98
2015,Ukraine - Ukraine,30,29,61,57,79,57,56,35,55,49,60,40
2016,Ukraine - Ukraine,31,25,39,24,57,56,36,40,42,46,46,42
2017,Ukraine - Ukraine,41,35,35,31,48,42,36,37,41,60,58,41
2018,Ukraine - Ukraine,22,32,51,54,56,44,51,50,54,88,60,62
2019,Ukraine - Ukraine,50,52,47,50,80,38,60,56,55,71,57,103
2020,Ukraine - Ukraine,56,76,78,8,25,30,93,76,73,83,105,68
2021,Ukraine - Ukraine,69,60,93,92,44,127,106,98,101,122,163,171
2022,Ukraine - Ukraine,102,111,168,263,241,301,166,219,204,216,277,306
2023,Ukraine - Ukraine,157,142,160,136,,,,,,,,
2015,United Arab Emirates - United Arab Emirates,19,28,22,28,20,31,31,39,26,28,25,35
2016,United Arab Emirates - United Arab Emirates,20,13,22,16,11,14,8,17,12,10,13,36
2017,United Arab Emirates - United Arab Emirates,23,11,47,36,37,13,26,35,51,66,24,32
2018,United States - United States of America,10,15,22,22,26,13,29,40,58,86,70,77
2019,United States - United States of America,38,45,39,57,68,39,64,59,59,57,71,62
2020,United States - United States of America,42,43,37,11,7,17,31,58,81,104,93,99
2021,United States - United States of America,62,63,91,125,54,150,153,173,143,109,142,151
2022,United States - United States of America,80,101,121,109,119,181,82,126,113,105,89,103
2023,United States - United States of America,73,54,62,48,,,,,,,,
2017,Yemen - Yemen,12,18,40,32,40,29,21,25,50,27,49,47
2018,Yemen - Yemen,50,30,32,39,52,60,63,66,95,113,105,146
2019,Yemen - Yemen,97,143,121,148,155,61,140,96,121,132,109,241
2020,Yemen - Yemen,142,131,113,30,21,37,70,66,159,125,135,152
2021,Yemen - Yemen,88,79,120,134,63,113,103,110,139,97,123,163
2022,Yemen - Yemen,83,141,152,164,140,222,39,61,43,40,56,61
2023,Yemen - Yemen,37,32,26,19,,,,,,,,
2015,Yemen -Yemen,10,14,15,24,28,21,12,23,23,24,15,22
